"País";"Ciudad";"CityId"
"Australia";"Scoresby";"1193"
"Australia";"Scottsdale";"1730"
"Australia";"Seymour";"492"
"Australia";"Sheffield";"1821"
"Australia";"Sheoaks";"1731"
"Australia";"Shepparton";"493"
"Australia";"Singleton";"1322"
"Australia";"Smithton";"1732"
"Australia";"Sorell";"1822"
"Australia";"Springwood";"1315"
"Australia";"Santa Helena";"494"
"Australia";"St Marys";"1823"
"Australia";"Strahan Town";"495"
"Australia";"Strathbogie";"1733"
"Australia";"Strathgordon";"1824"
"Australia";"Sunshine Coast";"496"
"Australia";"Swan Hill";"498"
"Australia";"Swansea";"497"
"Australia";"Sydney";"300"
"Australia";"Tamworth";"499"
"Australia";"Taree";"500"
"Australia";"Tarraleah";"1734"
"Australia";"Tatura";"1735"
"Australia";"Tennant Creek";"501"
"Australia";"Terrey Hills";"1314"
"Australia";"The Corner";"1825"
"Australia";"The Entrance";"1736"
"Australia";"Thredbo";"1162"
"Australia";"Thursday Island";"1737"
"Australia";"Tibooburra";"1738"
"Australia";"Tom Price";"1260"
"Australia";"Toowoomba";"502"
"Australia";"Toronto";"1739"
"Australia";"Townsville";"321"
"Australia";"Tuggeranong";"1312"
"Australia";"Tullamarine";"517"
"Australia";"Tunnack";"1826"
"Australia";"Tweed Heads";"1740"
"Australia";"Ulverstone";"1741"
"Australia";"Victor Harbor";"503"
"Australia";"Wadeye";"1742"
"Australia";"Wagga Wagga";"504"
"Australia";"Wallsend";"1743"
"Australia";"Walpeup";"1744"
"Australia";"Wangaratta";"505"
"Australia";"Waratah";"1827"
"Australia";"Warracknabeal";"1745"
"Australia";"Warrnambool";"506"
"Australia";"Warwick";"507"
"Australia";"Watsonia";"516"
"Australia";"Weeaproinah";"1746"
"Australia";"Whitemark";"1747"
"Australia";"Whyalla";"508"
"Australia";"Wilsons Promontory";"1748"
"Australia";"Winton";"509"
"Australia";"Wollongong";"318"
"Australia";"Wonthaggi";"510"
"Australia";"Woomera";"511"
"Australia";"Wudinna Airfield";"1217"
"Australia";"Wyndham";"1212"
"Australia";"Wynyard";"1749"
"Australia";"Yarra Glen";"512"
"Australia";"Yarrawonga";"1750"
"Australia";"Yass";"1751"
"Australia";"Yeppoon";"513"
"Australia";"Young";"1321"
"Australia";"Yuendumu";"1752"
"Australia";"Yulara";"514"
"Australia";"Zeehan";"1828"
"Austria";"Innsbruck";"905"
"Austria";"Klagenfurt";"904"
"Austria";"Viena";"17"
"Azerbaiyán";"Bakú";"18"
"Azerbaiyán";"Ganja";"19"
"Azerbaiyán";"Lenkaran";"20"
"Bahamas";"Freeport";"1633"
"Bahamas";"Inagua";"1634"
"Bahamas";"Nassau";"97"
"Bahréin";"Bahrain/Manama";"220"
"Bangladés";"Barishal";"1168"
"Bangladés";"Chittagong";"1164"
"Bangladés";"Dhaka";"1163"
"Bangladés";"Khulna";"1167"
"Bangladés";"Rajshahi";"1166"
"Bangladés";"Sylhet";"1165"
"Bielorrusia";"Minsk";"205"
"Bélgica";"Alost";"2291"
"Bélgica";"Aalter";"2292"
"Bélgica";"Aarschot";"2293"
"Bélgica";"Aartselaar";"2294"
"Bélgica";"Affligem";"2295"
"Bélgica";"Aiseau-Presles";"2296"
"Bélgica";"Alken";"2297"
"Bélgica";"Alveringem";"2298"
"Bélgica";"Amay";"2299"
"Bélgica";"Amel";"2300"
"Bélgica";"Andenne";"2301"
"Bélgica";"Anderlecht";"2302"
"Bélgica";"Anderlues";"2303"
"Bélgica";"Anhee";"2304"
"Bélgica";"Ans";"2305"
"Bélgica";"Anthisnes";"2306"
"Bélgica";"Antoing";"2307"
"Bélgica";"Amberes";"2308"
"Bélgica";"Anzegem";"2309"
"Bélgica";"Ardooie";"2310"
"Bélgica";"Arendonk";"2311"
"Bélgica";"Arlon";"2312"
"Bélgica";"As";"2313"
"Bélgica";"Asse";"2314"
"Bélgica";"Assenede";"2315"
"Bélgica";"Assesse";"2316"
"Bélgica";"Ath";"2317"
"Bélgica";"Attert";"2318"
"Bélgica";"Aubange";"2319"
"Bélgica";"Aubel";"2320"
"Bélgica";"Avelgem";"2321"
"Bélgica";"Awans";"2322"
"Bélgica";"Aywaille";"2323"
"Bélgica";"Baarle-Hertog";"2324"
"Bélgica";"Baelen";"2325"
"Bélgica";"Balen";"2326"
"Bélgica";"Bassenge";"2327"
"Bélgica";"Bastoña";"2328"
"Bélgica";"Beaumont";"2329"
"Bélgica";"Beauraing";"2330"
"Bélgica";"Beauvechain";"2331"
"Bélgica";"Beernem";"2332"
"Bélgica";"Beerse";"2333"
"Bélgica";"Beersel";"2334"
"Bélgica";"Begijnendijk";"2335"
"Bélgica";"Bekkevoort";"2336"
"Bélgica";"Beloeil";"2337"
"Bélgica";"Beringen";"2338"
"Bélgica";"Berlaar";"2339"
"Bélgica";"Berlare";"2340"
"Bélgica";"Berloz";"2341"
"Bélgica";"Bernissart";"2342"
"Bélgica";"Bertem";"2343"
"Bélgica";"Bertogne";"2344"
"Bélgica";"Bertrix";"2345"
"Bélgica";"Bever";"2346"
"Bélgica";"Beveren";"2347"
"Bélgica";"Beyne-Heusay";"2348"
"Bélgica";"Bierbeek";"2349"
"Bélgica";"Bievre";"2350"
"Bélgica";"Bilzen";"2351"
"Bélgica";"Binche";"2352"
"Bélgica";"Blankenberge";"2353"
"Bélgica";"Blegny";"2354"
"Bélgica";"Bocholt";"2355"
"Bélgica";"Boechout";"2356"
"Bélgica";"Bonheiden";"2357"
"Bélgica";"Boom";"2358"
"Bélgica";"Boortmeerbeek";"2359"
"Bélgica";"Borgloon";"2360"
"Bélgica";"Bornem";"2361"
"Bélgica";"Borsbeek";"2362"
"Bélgica";"Bouillon";"2363"
"Bélgica";"Boussu";"2364"
"Bélgica";"Boutersem";"2365"
"Bélgica";"Braine-L'Alleud";"2366"
"Bélgica";"Braine-Le-Chateau";"2367"
"Bélgica";"Braine-Le-Comte ";"2368"
"Bélgica";"Braives";"2369"
"Bélgica";"Brakel";"2370"
"Bélgica";"Brasschaat";"2371"
"Bélgica";"Brecht";"2372"
"Bélgica";"Bredene";"2373"
"Bélgica";"Bree";"2374"
"Bélgica";"Brugelette";"2375"
"Bélgica";"Brujas";"2376"
"Bélgica";"Brunehaut";"2377"
"Bélgica";"Bruselas";"191"
"Bélgica";"Buggenhout";"2378"
"Bélgica";"Bullingen";"2379"
"Bélgica";"Burdinne";"2380"
"Bélgica";"Burg-Reuland";"2381"
"Bélgica";"Butgenbach";"2382"
"Bélgica";"Celles";"2383"
"Bélgica";"Cerfontaine";"2384"
"Bélgica";"Chapelle-Lez-Herlaimont";"2385"
"Bélgica";"Charleroi";"2386"
"Bélgica";"Chastre";"2387"
"Bélgica";"Chatelet";"2388"
"Bélgica";"Chaudfontaine";"2389"
"Bélgica";"Chaumont-Gistoux";"2390"
"Bélgica";"Chievres";"2391"
"Bélgica";"Chimay";"2392"
"Bélgica";"Chiny";"2393"
"Bélgica";"Ciney";"2394"
"Bélgica";"Clavier";"2395"
"Bélgica";"Colfontaine";"2396"
"Bélgica";"Comblain-Au-Pont";"2397"
"Bélgica";"Comines-Warneton";"2398"
"Bélgica";"Courcelles";"2399"
"Bélgica";"Court-Saint-Etienne";"2400"
"Bélgica";"Couvin";"2401"
"Bélgica";"Crisnee";"2402"
"Bélgica";"Dalhem";"2403"
"Bélgica";"Damme";"2404"
"Bélgica";"Daverdisse";"2405"
"Bélgica";"De Haan";"2406"
"Bélgica";"De Panne";"2407"
"Bélgica";"De Pinte";"2408"
"Bélgica";"Deerlijk";"2409"
"Bélgica";"Deinze";"2410"
"Bélgica";"Denderleeuw";"2411"
"Bélgica";"Dendermonde";"2412"
"Bélgica";"Dentergem";"2413"
"Bélgica";"Dessel";"2414"
"Bélgica";"Destelbergen";"2415"
"Bélgica";"Diepenbeek";"2416"
"Bélgica";"Diest";"2417"
"Bélgica";"Dixmuda ";"2418"
"Bélgica";"Dilbeek";"2419"
"Bélgica";"Dilsen-Stokkem";"2420"
"Bélgica";"Dinant";"2421"
"Bélgica";"Dison";"2422"
"Bélgica";"Doische";"2423"
"Bélgica";"Donceel";"2424"
"Bélgica";"Dour";"2425"
"Bélgica";"Drogenbos";"2426"
"Bélgica";"Duffel";"2427"
"Bélgica";"Durbuy";"2428"
"Bélgica";"Ecaussines";"2429"
"Bélgica";"Edegem";"2430"
"Bélgica";"Eeklo";"2431"
"Bélgica";"Eghezee";"2432"
"Bélgica";"Ellezelles";"2433"
"Bélgica";"Enghien";"2434"
"Bélgica";"Engis";"2435"
"Bélgica";"Erezee";"2436"
"Bélgica";"Erpe-Mere";"2437"
"Bélgica";"Erquelinnes";"2438"
"Bélgica";"Esneux";"2439"
"Bélgica";"Essen";"2440"
"Bélgica";"Estaimpuis";"2441"
"Bélgica";"Estinnes";"2442"
"Bélgica";"Étalle";"2443"
"Bélgica";"Etterbeek";"2444"
"Bélgica";"Eupen";"2445"
"Bélgica";"Evere";"2446"
"Bélgica";"Evergem";"2447"
"Bélgica";"Faimes";"2448"
"Bélgica";"Farciennes";"2449"
"Bélgica";"Fauvillers";"2450"
"Bélgica";"Fernelmont";"2451"
"Bélgica";"Ferrieres";"2452"
"Bélgica";"Fexhe-Le-Haut-Clocher";"2453"
"Bélgica";"Flémalle";"2454"
"Bélgica";"Fleron";"2455"
"Bélgica";"Fleurus";"2456"
"Bélgica";"Flobecq";"2457"
"Bélgica";"Floreffe";"2458"
"Bélgica";"Florennes";"2459"
"Bélgica";"Florenville";"2460"
"Bélgica";"Fontaine-L'Eveque";"2461"
"Bélgica";"Forest";"2462"
"Bélgica";"Fosses-La-Ville";"2463"
"Bélgica";"Frameries";"2464"
"Bélgica";"Frasnes-Lez-Anvaing";"2465"
"Bélgica";"Froidchapelle";"2466"
"Bélgica";"Galmaarden";"2467"
"Bélgica";"Ganshoren";"2468"
"Bélgica";"Gavere";"2469"
"Bélgica";"Gedinne";"2470"
"Bélgica";"Geel";"2471"
"Bélgica";"Geer";"2472"
"Bélgica";"Geetbets";"2473"
"Bélgica";"Gembloux";"2474"
"Bélgica";"Genappe";"2475"
"Bélgica";"Genk";"2476"
"Bélgica";"Geraardsbergen";"2477"
"Bélgica";"Gerpinnes";"2478"
"Bélgica";"Gesves";"2479"
"Bélgica";"Gante";"2480"
"Bélgica";"Gingelom";"2481"
"Bélgica";"Gistel";"2482"
"Bélgica";"Glabbeek";"2483"
"Bélgica";"Gooik";"2484"
"Bélgica";"Gouvy";"2485"
"Bélgica";"Grace-Hollogne";"2486"
"Bélgica";"Grez-Doiceau";"2487"
"Bélgica";"Grimbergen";"2488"
"Bélgica";"Grobbendonk";"2489"
"Bélgica";"Haacht";"2490"
"Bélgica";"Haaltert";"2491"
"Bélgica";"Habay";"2492"
"Bélgica";"Halen";"2493"
"Bélgica";"Halle";"2494"
"Bélgica";"Ham";"2495"
"Bélgica";"Ham-Sur-Heure-Nalinnes";"2496"
"Bélgica";"Hamme";"2497"
"Bélgica";"Hamoir";"2498"
"Bélgica";"Hamois";"2499"
"Bélgica";"Hamont-Achel";"2500"
"Bélgica";"Hannut";"2501"
"Bélgica";"Harelbeke";"2502"
"Bélgica";"Hasselt";"2503"
"Bélgica";"Hastiere";"2504"
"Bélgica";"Havelange";"2505"
"Bélgica";"Hechtel-Eksel";"2506"
"Bélgica";"Heers";"2507"
"Bélgica";"Heist-Op-Den-Berg";"2508"
"Bélgica";"Helecine";"2509"
"Bélgica";"Hemiksem";"2510"
"Bélgica";"Hensies";"2511"
"Bélgica";"Herbeumont";"2512"
"Bélgica";"Herent";"2513"
"Bélgica";"Herentals";"2514"
"Bélgica";"Herenthout";"2515"
"Bélgica";"Herk-De-Stad";"2516"
"Bélgica";"Herne";"2517"
"Bélgica";"Heron";"2518"
"Bélgica";"Herselt";"2519"
"Bélgica";"Herstal";"2520"
"Bélgica";"Herstappe";"2521"
"Bélgica";"Herve";"2522"
"Bélgica";"Herzele";"2523"
"Bélgica";"Heusden-Zolder";"2524"
"Bélgica";"Heuvelland";"2525"
"Bélgica";"Hoegaarden";"2526"
"Bélgica";"Hoeilaart";"2527"
"Bélgica";"Hoeselt";"2528"
"Bélgica";"Holsbeek";"2529"
"Bélgica";"Honnelles";"2530"
"Bélgica";"Hooglede";"2531"
"Bélgica";"Hoogstraten";"2532"
"Bélgica";"Horebeke";"2533"
"Bélgica";"Hotton";"2534"
"Bélgica";"Houffalize";"2535"
"Bélgica";"Houthalen-Helchteren";"2536"
"Bélgica";"Houthulst";"2537"
"Bélgica";"Houyet";"2538"
"Bélgica";"Hove";"2539"
"Bélgica";"Huldenberg";"2540"
"Bélgica";"Hulshout";"2541"
"Bélgica";"Huy";"2542"
"Bélgica";"Ichtegem";"2543"
"Bélgica";"Ypres";"2544"
"Bélgica";"Incourt";"2545"
"Bélgica";"Ingelmunster";"2546"
"Bélgica";"Ittre";"2547"
"Bélgica";"Ixelles";"2548"
"Bélgica";"Izegem";"2549"
"Bélgica";"Jabbeke";"2550"
"Bélgica";"Jalhay";"2551"
"Bélgica";"Jemeppe-Sur-Sambre";"2552"
"Bélgica";"Jette";"2553"
"Bélgica";"Jodoigne";"2554"
"Bélgica";"Juprelle";"2555"
"Bélgica";"Jurbise";"2556"
"Bélgica";"Kalmthout";"2557"
"Bélgica";"Kampenhout";"2558"
"Bélgica";"Kapelle-Op-Den-Bos";"2559"
"Bélgica";"Kapellen";"2560"
"Bélgica";"Kaprijke";"2561"
"Bélgica";"Kasterlee";"2562"
"Bélgica";"Keerbergen";"2563"
"Bélgica";"Kelmis";"2564"
"Bélgica";"Kinrooi";"2565"
"Bélgica";"Kleine Brogel";"945"
"Bélgica";"Kluisbergen";"2566"
"Bélgica";"Knesselare";"2567"
"Bélgica";"Knokke-Heist";"2568"
"Bélgica";"Koekelare";"2569"
"Bélgica";"Koekelberg";"2570"
"Bélgica";"Koksijde";"2571"
"Bélgica";"Kontich";"2572"
"Bélgica";"Kortemark";"2573"
"Bélgica";"Kortenaken";"2574"
"Bélgica";"Kortenberg";"2575"
"Bélgica";"Kortessem";"2576"
"Bélgica";"Cortrique";"2577"
"Bélgica";"Kraainem";"2578"
"Bélgica";"Kruibeke";"2579"
"Bélgica";"Kruishoutem";"2580"
"Bélgica";"Kuurne";"2581"
"Bélgica";"La Bruyere";"2582"
"Bélgica";"La Hulpe";"2583"
"Bélgica";"La Louviere";"2584"
"Bélgica";"La Roche-En-Ardenne";"2585"
"Bélgica";"Laakdal";"2586"
"Bélgica";"Laarne";"2587"
"Bélgica";"Lanaken";"2588"
"Bélgica";"Landen";"2589"
"Bélgica";"Langemark-Poelkapelle";"2590"
"Bélgica";"Lasne";"2591"
"Bélgica";"Le Roeulx";"2592"
"Bélgica";"Lebbeke";"2593"
"Bélgica";"Lede";"2594"
"Bélgica";"Ledegem";"2595"
"Bélgica";"Léglise";"2596"
"Bélgica";"Lendelede";"2597"
"Bélgica";"Lennik";"2598"
"Bélgica";"Lens";"2599"
"Bélgica";"Leopoldsburg";"2600"
"Bélgica";"Les Bons Villers";"2601"
"Bélgica";"Lessines";"2602"
"Bélgica";"Lovaina ";"2603"
"Bélgica";"Leuze-En-Hainaut";"2604"
"Bélgica";"Libin";"2605"
"Bélgica";"Libramont-Chevigny";"2606"
"Bélgica";"Lichtervelde";"2607"
"Bélgica";"Liedekerke";"2608"
"Bélgica";"Lieja";"2609"
"Bélgica";"Lier";"2610"
"Bélgica";"Lierde";"2611"
"Bélgica";"Lierneux";"2612"
"Bélgica";"Lille";"2613"
"Bélgica";"Limburgo";"2614"
"Bélgica";"Lincent";"2615"
"Bélgica";"Linkebeek";"2616"
"Bélgica";"Lint";"2617"
"Bélgica";"Linter";"2618"
"Bélgica";"Lo-Reninge";"2619"
"Bélgica";"Lobbes";"2620"
"Bélgica";"Lochristi";"2621"
"Bélgica";"Lokeren";"2622"
"Bélgica";"Lommel";"2623"
"Bélgica";"Londerzeel";"2624"
"Bélgica";"Lontzen";"2625"
"Bélgica";"Lovendegem";"2626"
"Bélgica";"Lubbeek";"2627"
"Bélgica";"Lummen";"2628"
"Bélgica";"Maarkedal";"2629"
"Bélgica";"Maaseik";"2630"
"Bélgica";"Maasmechelen";"2631"
"Bélgica";"Machelen";"2632"
"Bélgica";"Maldegem";"2633"
"Bélgica";"Malle";"2634"
"Bélgica";"Malmedy";"2635"
"Bélgica";"Manage";"2636"
"Bélgica";"Manhay";"2637"
"Bélgica";"Marche-En-Famenne";"2638"
"Bélgica";"Marchin";"2639"
"Bélgica";"Martelange";"2640"
"Bélgica";"Malinas ";"2641"
"Bélgica";"Meerhout";"2642"
"Bélgica";"Meeuwen-Gruitrode";"2643"
"Bélgica";"Meise";"2644"
"Bélgica";"Meix-Devant-Virton";"2645"
"Bélgica";"Melle";"2646"
"Bélgica";"Menen";"2647"
"Bélgica";"Merbes-Le-Chateau";"2648"
"Bélgica";"Merchtem";"2649"
"Bélgica";"Merelbeke";"2650"
"Bélgica";"Merksplas";"2651"
"Bélgica";"Mesen";"2652"
"Bélgica";"Messancy";"2653"
"Bélgica";"Mettet";"2654"
"Bélgica";"Meulebeke";"2655"
"Bélgica";"Middelkerke";"2656"
"Bélgica";"Modave";"2657"
"Bélgica";"Moerbeke";"2658"
"Bélgica";"Mol";"2659"
"Bélgica";"Momignies";"2660"
"Bélgica";"Mons";"2661"
"Bélgica";"Mont-De-L'Enclus";"2662"
"Bélgica";"Mont-Saint-Guibert";"2663"
"Bélgica";"Montigny-Le-Tilleul";"2664"
"Bélgica";"Moorslede";"2665"
"Bélgica";"Morlanwelz";"2666"
"Bélgica";"Mortsel";"2667"
"Bélgica";"Mouscron";"2668"
